"ITEM_NO","LOC_ID","DIM_1_UPR","DIM_2_UPR","DIM_3_UPR","MIN_QTY","MAX_QTY","QTY_COMMIT","QTY_ON_HND","QTY_ON_PO","QTY_ON_BO","QTY_ON_XFER_OUT","QTY_ON_XFER_IN","QTY_ON_ORD","QTY_ON_LWY","QTY_ON_SO","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS","NET_QTY","QTY_AVAIL","STK_STAT_PER_QTY_ON_HND","STK_STAT_PER_QTY_AVAIL","STK_STAT_PER_NET_QTY","REORD_PNT","EOQ","SFTY_STK","EOQ_CALC_ON","CELL_STAT","IS_ECOMM_ITEM_CELL","DROPSHIP_QTY_ON_CUST_ORD","DROPSHIP_QTY_ON_PO"
" OLU047","MAIN","RAY/RAY","10","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809E9",0,0,"O","O","O",,,,"","A","",0,0
" OLU047","MAIN","RAY/RAY","11","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809EA",0,0,"O","O","O",,,,"","A","",0,0
" OLU047","MAIN","RAY/RAY","12","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809EB",0,0,"O","O","O",,,,"","A","",0,0
" OLU047","MAIN","RAY/RAY","13","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809EC",0,0,"O","O","O",,,,"","A","",0,0
" OLU047","MAIN","RAY/RAY","9","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809ED",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","10","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F87",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","12","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F88",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","2","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F83",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","2S","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:08:43.523 PM","AJ","","0x0000000012B7052F",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","4","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F84",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","4S","*",0,0,0,1,0,0,0,0,0,0,0,"1/18/2019 01:01:27.830 PM","AJ","","0x0000000012BC22DC",1,1,"?","?","?",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","6","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F85",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","8","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F86",0,0,"O","O","O",,,,"","A","",0,0
"2029465","MAIN","BLACK","*","*",0,0,0,0,0,0,0,0,0,0,0,"2/5/2019 03:10:46.000 PM","RI","","0x0000000012C0EA0E",0,0,"O","O","O",,,,"","A","",0,0
"2029465","MAIN","BLUE","*","*",0,0,0,0,0,0,0,0,0,0,0,"2/5/2019 03:10:46.000 PM","RI","","0x0000000012C0EA0F",0,0,"O","O","O",,,,"","A","",0,0
"2029465","MAIN","PINK","*","*",0,0,0,0,0,0,0,0,0,0,0,"2/5/2019 03:10:46.000 PM","RI","","0x0000000012C0EA10",0,0,"O","O","O",,,,"","A","",0,0
"2029465","MAIN","RED","*","*",0,0,0,0,0,0,0,0,0,0,0,"2/5/2019 03:10:46.000 PM","RI","","0x0000000012C0EA11",0,0,"O","O","O",,,,"","A","",0,0
"2029465","MAIN","WHITE","*","*",0,0,0,0,0,0,0,0,0,0,0,"2/5/2019 03:10:46.000 PM","RI","","0x0000000012C0EA12",0,0,"O","O","O",,,,"","A","",0,0
"686109","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3858",0,0,"O","O","O",,,,"","A","",0,0
"686109","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3859",0,0,"O","O","O",,,,"","A","",0,0
"686109","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE385A",0,0,"O","O","O",,,,"","A","",0,0
"686109","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE385B",0,0,"O","O","O",,,,"","A","",0,0
"686109","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE385C",0,0,"O","O","O",,,,"","A","",0,0
"686109","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE385D",0,0,"O","O","O",,,,"","A","",0,0
"686109","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE385E",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE386C",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE386D",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE386E",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE386F",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3870",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3871",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3872",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3880",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3881",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3882",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3883",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3884",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3885",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3886",0,0,"O","O","O",,,,"","A","",0,0
"686112","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3894",0,0,"O","O","O",,,,"","A","",0,0
"686112","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3895",0,0,"O","O","O",,,,"","A","",0,0
"686112","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3896",0,0,"O","O","O",,,,"","A","",0,0
"686112","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3897",0,0,"O","O","O",,,,"","A","",0,0
"686112","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3898",0,0,"O","O","O",,,,"","A","",0,0
"686112","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3899",0,0,"O","O","O",,,,"","A","",0,0
"686112","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE389A",0,0,"O","O","O",,,,"","A","",0,0
"686113","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE38A8",0,0,"O","O","O",,,,"","A","",0,0
"686113","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE38A9",0,0,"O","O","O",,,,"","A","",0,0
"686113","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE38AA",0,0,"O","O","O",,,,"","A","",0,0
"686113","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE38AB",0,0,"O","O","O",,,,"","A","",0,0
"686113","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE38AC",0,0,"O","O","O",,,,"","A","",0,0
"686113","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE38AD",0,0,"O","O","O",,,,"","A","",0,0
"686113","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE38AE",0,0,"O","O","O",,,,"","A","",0,0
"686114","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38BC",0,0,"O","O","O",,,,"","A","",0,0
"686114","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38BD",0,0,"O","O","O",,,,"","A","",0,0
"686114","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38BE",0,0,"O","O","O",,,,"","A","",0,0
"686114","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38BF",0,0,"O","O","O",,,,"","A","",0,0
"686114","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38C0",0,0,"O","O","O",,,,"","A","",0,0
"686114","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38C1",0,0,"O","O","O",,,,"","A","",0,0
"686114","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38C2",0,0,"O","O","O",,,,"","A","",0,0
"686116","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38D5",0,0,"O","O","O",,,,"","A","",0,0
"686116","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38D6",0,0,"O","O","O",,,,"","A","",0,0
"686116","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38D7",0,0,"O","O","O",,,,"","A","",0,0
"686116","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38D8",0,0,"O","O","O",,,,"","A","",0,0
"686116","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38D9",0,0,"O","O","O",,,,"","A","",0,0
"686116","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38DA",0,0,"O","O","O",,,,"","A","",0,0
"686116","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38DB",0,0,"O","O","O",,,,"","A","",0,0
"686117","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38E9",0,0,"O","O","O",,,,"","A","",0,0
"686117","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38EA",0,0,"O","O","O",,,,"","A","",0,0
"686117","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38EB",0,0,"O","O","O",,,,"","A","",0,0
"686117","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38EC",0,0,"O","O","O",,,,"","A","",0,0
"686117","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38ED",0,0,"O","O","O",,,,"","A","",0,0
"686117","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38EE",0,0,"O","O","O",,,,"","A","",0,0
"686117","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:57.000 PM","AJ","","0x0000000011EE38EF",0,0,"O","O","O",,,,"","A","",0,0
"686125","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3921",0,0,"O","O","O",,,,"","A","",0,0
"686125","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3922",0,0,"O","O","O",,,,"","A","",0,0
"686125","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3923",0,0,"O","O","O",,,,"","A","",0,0
"686125","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3924",0,0,"O","O","O",,,,"","A","",0,0
"686125","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3925",0,0,"O","O","O",,,,"","A","",0,0
"686125","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3926",0,0,"O","O","O",,,,"","A","",0,0
"686125","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3927",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3935",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3936",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3937",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3938",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3939",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE393A",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE393B",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3949",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394A",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394B",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394C",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394D",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394E",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394F",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE395D",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE395E",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE395F",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3960",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3961",0,0,"O","O","O",,,,"","A","",0,0
